spy_close,SPY_1d_returns,vix_spot,vix_1m,vix_2m,vix_3m,vix_4m,vix_5m,vix_6m,vix_7m,vix_8m,vix_9m,VIX_slope,yc_1m,yc_3m,yc_6m,yc_1y,yc_2y,yc_3y,yc_5y,yc_7y,yc_10y,yc_20y,yc_30y,yc_slopes_1m_10y,yc_slopes_3m_10y,spread_3m_10y
1462.420044,0.042775745,14.68,15.6,16.72,18.06,18.84,19.55,20.44,21.43,22,22.55,0.029684584,0.07,0.08,0.12,0.15,0.27,0.37,0.76,1.25,1.86,2.63,3.04,0.000492277,0.000501674,1.78
1459.369995,-0.002085618,14.56,15.9,16.92,18.12,18.92,19.61,20.4,21.39,21.95,22.55,0.029076787,0.06,0.08,0.12,0.15,0.27,0.4,0.81,1.31,1.92,2.7,3.12,0.000513705,0.000522343,1.84
1466.469971,0.004865097,13.83,15.3,16.67,18.02,18.73,19.53,20.24,21.11,21.75,22.28,0.030419287,0.06,0.07,0.11,0.15,0.27,0.41,0.82,1.32,1.93,2.7,3.1,0.000518799,0.000527844,1.86
1461.890015,-0.003123116,13.79,14.75,16.42,17.95,18.79,19.59,20.34,21.17,21.77,22.38,0.032075392,0.05,0.07,0.11,0.15,0.27,0.41,0.82,1.31,1.92,2.7,3.1,0.000516666,0.000524681,1.85
1457.150024,-0.003242372,13.62,14.65,16.43,17.87,18.67,19.41,20.17,21.14,21.71,22.46,0.032499019,0.06,0.07,0.11,0.14,0.25,0.38,0.79,1.28,1.89,2.66,3.06,0.000506654,0.00051627,1.82
1461.02002,0.002655867,13.81,14.7,16.37,17.94,18.58,19.44,20.04,20.88,21.49,22.12,0.03090153,0.04,0.06,0.09,0.13,0.24,0.37,0.77,1.27,1.88,2.65,3.06,0.000507804,0.000516814,1.82
1472.119995,0.007597415,13.49,14.2,16.08,17.74,18.38,19,19.89,20.59,21.15,21.74,0.03103185,0.05,0.06,0.1,0.14,0.26,0.37,0.8,1.3,1.91,2.68,3.08,0.000515436,0.000524801,1.85
1472.050049,-4.75E-05,13.36,14.14,15.98,17.64,18.33,19.07,19.68,20.48,21,21.62,0.030887317,0.04,0.07,0.1,0.14,0.26,0.37,0.78,1.28,1.89,2.65,3.05,0.00050841,0.000516491,1.82
1470.680054,-0.000930671,13.52,14.09,15.94,17.33,18.19,18.78,19.54,20.28,20.85,21.4,0.03010495,0.05,0.08,0.11,0.14,0.26,0.37,0.78,1.27,1.89,2.65,3.05,0.000504819,0.000513318,1.81
1472.339966,0.00112867,13.55,14.2,15.76,17.24,18.15,18.88,19.53,20.28,20.8,21.35,0.030044727,0.09,0.09,0.11,0.14,0.26,0.36,0.75,1.24,1.86,2.62,3.02,0.000489858,0.000501583,1.77
1472.630005,0.000196992,13.42,15.5,17.07,17.94,18.64,19.33,20.07,20.72,21.3,0,0.029541246,0.07,0.08,0.11,0.14,0.26,0.36,0.75,1.23,1.84,2.61,3.01,0.000487518,0.000497434,1.76
1480.939941,0.005642922,13.57,15.69,16.98,17.86,18.53,19.07,19.78,20.41,21.08,0,0.027646551,0.05,0.07,0.11,0.14,0.28,0.39,0.79,1.29,1.89,2.66,3.06,0.00050754,0.000515635,1.82
1485.97998,0.00340327,12.46,14.65,16.28,17.23,17.82,18.44,19.12,19.78,20.55,0,0.029660532,0.04,0.08,0.1,0.14,0.26,0.38,0.77,1.26,1.87,2.63,3.03,0.000500947,0.000508443,1.79
1492.560059,0.004428107,12.43,14.05,15.37,16.48,17.1,17.79,18.55,19.18,19.75,0,0.028597114,0.04,0.08,0.1,0.14,0.26,0.38,0.76,1.25,1.86,2.62,3.02,0.000497409,0.000504827,1.78
1494.810059,0.001507477,12.46,13.69,15.03,16.23,16.97,17.6,18.26,18.89,19.55,20.1,0.027203434,0.06,0.08,0.1,0.15,0.26,0.37,0.76,1.24,1.86,2.62,3.02,0.000493972,0.000503085,1.78
1494.819946,6.61E-06,12.69,13.94,15.08,16.13,16.89,17.54,18.19,18.83,19.4,20.1,0.026169744,0.06,0.08,0.1,0.15,0.23,0.37,0.78,1.26,1.88,2.64,3.04,0.000502077,0.000511858,1.8
1502.959961,0.005445482,12.89,14.09,15.13,16.08,16.79,17.43,18.08,18.72,19.31,19.87,0.024893049,0.06,0.08,0.11,0.15,0.28,0.42,0.87,1.36,1.98,2.75,3.14,0.000534157,0.000543043,1.9
1500.180054,-0.001849621,13.57,14.59,15.32,16.27,16.87,17.51,18.18,18.71,19.25,19.82,0.022629249,0.03,0.07,0.11,0.16,0.29,0.45,0.89,1.38,2,2.76,3.15,0.000543601,0.00054943,1.93
1507.839966,0.005105995,13.31,14.04,14.92,15.97,16.68,17.32,18.02,18.67,19.25,19.68,0.024149787,0.03,0.07,0.11,0.15,0.3,0.43,0.9,1.4,2.03,2.79,3.18,0.000552505,0.000558978,1.96
1501.959961,-0.003899621,14.32,15.15,15.76,16.57,17.12,17.68,18.37,18.92,19.48,20,0.020890989,0.04,0.07,0.11,0.15,0.27,0.42,0.88,1.39,2.03,2.8,3.19,0.000550593,0.000558706,1.96
1498.109985,-0.002563301,14.28,14.9,15.71,16.71,17.31,17.81,18.47,19.04,19.6,20.05,0.021768894,0.04,0.07,0.12,0.15,0.27,0.42,0.88,1.38,2.02,2.79,3.17,0.000546796,0.000554546,1.95
1513.170044,0.010052706,12.9,14.29,15.38,16.31,17.02,17.72,18.42,18.97,19.48,20,0.025343377,0.02,0.06,0.11,0.15,0.27,0.4,0.88,1.4,2.04,2.83,3.21,0.000556358,0.000563329,1.98
1495.709961,-0.011538745,14.67,15.29,15.86,16.73,17.28,17.88,18.55,19.12,19.7,20.4,0.021406706,0.03,0.07,0.11,0.15,0.25,0.38,0.85,1.36,2,2.79,3.17,0.000541791,0.00054965,1.93
1511.290039,0.01041651,13.72,14.39,15.57,16.57,17.18,17.76,18.47,19.03,19.55,20.1,0.023914037,0.06,0.07,0.11,0.15,0.27,0.41,0.88,1.39,2.04,2.83,3.21,0.000550809,0.000560962,1.97
1512.119995,0.000549171,13.41,14.15,15.33,16.43,17.04,17.63,18.28,18.92,19.46,20.05,0.02473397,0.06,0.07,0.12,0.15,0.27,0.39,0.84,1.35,2,2.79,3.18,0.000536004,0.000545883,1.93
1509.390015,-0.001805399,13.5,14.09,15.31,16.32,16.99,17.54,18.22,18.87,19.4,20.05,0.024622868,0.03,0.07,0.11,0.15,0.25,0.39,0.83,1.34,1.99,2.78,3.17,0.000536599,0.000544291,1.92
1517.930054,0.005657941,13.02,13.8,15.01,16.07,16.67,17.31,17.96,18.57,19.19,19.77,0.025110367,0.03,0.07,0.11,0.14,0.25,0.39,0.84,1.34,1.99,2.79,3.17,0.000537741,0.000545581,1.92
1517.01001,-0.000606118,12.94,13.5,14.93,15.82,16.47,17.08,17.77,18.42,18.99,19.52,0.025028267,0.05,0.09,0.12,0.15,0.27,0.4,0.85,1.35,1.99,2.78,3.16,0.000533723,0.000541924,1.9
1519.430054,0.001595272,12.64,13,14.78,15.78,16.44,16.98,17.7,18.37,18.9,19.46,0.026180322,0.08,0.09,0.12,0.14,0.29,0.41,0.88,1.38,2.02,2.81,3.19,0.000541545,0.00055239,1.93
1520.329956,0.000592263,12.98,14.75,15.82,16.53,17.02,17.61,18.18,18.87,19.43,0,0.02403089,0.09,0.1,0.12,0.15,0.29,0.44,0.92,1.43,2.05,2.86,3.23,0.0005523,0.0005634,1.95
1521.380005,0.000690672,12.66,14.55,15.72,16.42,17.04,17.68,18.33,18.86,19.45,0,0.025504805,0.1,0.11,0.13,0.16,0.27,0.42,0.86,1.37,2,2.79,3.17,0.000530684,0.000542267,1.89
1519.790039,-0.001045081,12.46,14.5,15.62,16.39,17.09,17.74,18.39,19.03,19.55,0,0.026792294,0.09,0.1,0.13,0.17,0.29,0.42,0.87,1.38,2.01,2.8,3.18,0.00053464,0.000545098,1.91
1530.939941,0.007336475,12.31,13.89,14.92,15.74,16.54,17.26,17.92,18.62,19.15,19.58,0.025527978,0.09,0.12,0.13,0.17,0.29,0.44,0.89,1.41,2.03,2.83,3.21,0.000540995,0.000550889,1.91
1511.949951,-0.012404138,14.68,15.39,15.97,16.55,17.14,17.78,18.39,19.02,19.52,19.75,0.019174431,0.12,0.12,0.13,0.17,0.27,0.42,0.88,1.38,2.02,2.82,3.2,0.00053342,0.000546487,1.9
1502.420044,-0.006303057,15.22,15.5,16.11,16.73,17.27,17.94,18.6,19.18,19.7,20.1,0.019027582,0.12,0.13,0.13,0.16,0.26,0.4,0.86,1.36,1.99,2.79,3.17,0.000524651,0.000537844,1.86
1515.599976,0.008772468,14.17,14.84,15.66,16.43,17,17.7,18.24,18.92,19.45,19.75,0.021035048,0.11,0.13,0.14,0.16,0.27,0.4,0.84,1.34,1.97,2.77,3.15,0.000517352,0.000529101,1.84
1487.849976,-0.018309581,18.99,17.65,17.47,17.52,17.96,18.3,18.69,19.23,19.58,20.03,0.007311662,0.09,0.12,0.14,0.16,0.25,0.37,0.78,1.25,1.88,2.69,3.08,0.000490542,0.000500596,1.76
