,UNRATE,y,L_0y,L_1y,L_2y,L_3y,L_4y,L_5y,L_6y,L_7y,L_8y,L0_GS1,L1_GS1,L0_CPIAUCSL,L1_CPIAUCSL,L0_F1,L0_F2,L1_F1,L1_F2,OLD_AGE,L0_F3,L0_F4,L1_F3,L1_F4,L1_F5,L2_F2,L2_F3,L2_F4,L2_F5,L3_F2,L3_F3,L3_F4,L3_F5,L4_F1,L4_F2,L4_F3,L4_F4,L4_F5,L5_F1,L5_F2,L5_F5,L6_F1,L6_F2,L6_F5,L7_F1,L7_F2,L7_F5,L8_F1,L8_F3,L8_F5,L0_PCECC96,L0_PCDGx,L0_PCESVx,L0_PCNDx,L0_GPDIC1,L0_FPIx,L0_Y033RC1Q027SBEAx,L0_PNFIx,L0_PRFIx,L0_A014RE1Q156NBEA,L0_A823RL1Q225SBEA,L0_FGRECPTx,L0_SLCEx,L0_EXPGSC1,L0_IMPGSC1,L0_DPIC96,L0_OUTNFB,L0_OUTBS,L0_OUTMS,L0_INDPRO,L0_IPFINAL,L0_IPCONGD,L0_IPMAT,L0_IPDMAT,L0_IPNMAT,L0_IPDCONGD,L0_IPB51110SQ,L0_IPNCONGD,L0_IPBUSEQ,L0_IPB51220SQ,L0_PAYEMS,L0_USPRIV,L0_MANEMP,L0_SRVPRD,L0_USGOOD,L0_DMANEMP,L0_NDMANEMP,L0_USCONS,L0_USEHS,L0_USFIRE,L0_USINFO,L0_USPBS,L0_USLAH,L0_USSERV,L0_USMINE,L0_USTPU,L0_USGOVT,L0_USTRADE,L0_USWTRADE,L0_CES9092000001
0,-0.2333,0.019421273,0.019014468,0.016832324,0.006727609,-0.012917411,0.004880816,-0.005408467,0.02222418,0.002846333,0.000711755,0.0766,0.0634,0.004239713,-0.002347925,-0.394990869162048,0.236886475713673,-0.156653448829801,0.434580697690394,0,0.0646851379782668,-0.0618800081574914,-0.168204443900162,-0.212236335905965,-0.450480139770279,0.255879249796057,-0.0293980803790176,0.195900152324688,-0.156547648744441,0.0231427199456427,0.158687035766509,0.313561840194974,-0.0641121351442247,0.570159530995735,-0.0183482242683423,-0.0388819652607763,0.158132579736945,-0.158988798730659,0.27474639166923,-0.294833185375824,0.0286840118776606,-0.696327019166762,0.028232411893277,-0.280241273374384,0.213460730840708,-0.231620503550855,-0.145849988536224,0.240524366434071,0.025572624118913,-0.103967162720874,0.004851131,0.024119073,0.003048356,0.000789468,0.074868305,0.023736264,0.013524391,0.009731876,0.053137619,1.2,12.6,0.017238316,0.008287602,0.044206884,0.064126348,0.013214413,0.022731456,0.020851511,0.0290414614967612,0.031406679,0.018808202,0.019158012,0.047383156,0.073791993,0.028098949,0.03240495,0.017744371,0.013532764,0.019500556,0.017491836,0.008753939,0.00820792,0.010318077,0.008441172,0.00934921,0.015479833,0.003179484,0.005415083,0.012452649,0.007080802,0.008285705,0.011009602,0.006163961,0.012366599,0.005035534,0.004603552,0.011594887,0.005454438,0.005555826,0.011173301
1,-0.5667,0.017678797,0.019421273,0.019014468,0.016832324,0.006727609,-0.012917411,0.004880816,-0.005408467,0.02222418,0.002846333,0.0867,0.0766,-0.002459678,0.004239713,-0.557977944684687,0.192545516908498,-0.394990869162048,0.236886475713673,1,-0.249719746940653,-0.0353098883154169,0.0646851379782668,-0.0618800081574914,-0.282779569259788,0.434580697690394,-0.168204443900162,-0.212236335905965,-0.450480139770279,0.255879249796057,-0.0293980803790176,0.195900152324688,-0.156547648744441,0.754730039674144,0.0231427199456427,0.158687035766509,0.313561840194974,-0.0641121351442247,0.570159530995735,-0.0183482242683423,-0.158988798730659,0.27474639166923,-0.294833185375824,0.0286840118776606,-0.696327019166762,0.028232411893277,-0.280241273374384,0.213460730840708,-0.0485873148816269,-0.145849988536224,0.019914572,0.047335853,0.017605583,0.013481314,0.016410318,0.031114202,0.058428749,0.029984626,0.033448376,1.0,7.7,0.034282757,0.026523169,0.016172625,0.023502408,0.019310802,0.021080132,0.019289689,0.0323862977174915,0.034467967,0.034013274,0.030049806,0.039104453,0.040048161,0.045713907,0.051648758,0.094881623,0.022981112,0.029117708,0.021624808,0.008117617,0.008446193,0.011197638,0.006621955,0.010956779,0.013894885,0.007432235,0.014147401,0.012732094,0.006138912,0.006267118,0.010190732,0.006603211,0.012491488,-0.006872879,0.003408703,0.006409192,0.004781158,0.002747654,0.002671305
2,-0.5667,0.008996131,0.017678797,0.019421273,0.019014468,0.016832324,0.006727609,-0.012917411,0.004880816,-0.005408467,0.02222418,0.1067,0.0867,0.002438888,-0.002459678,-0.345167431282273,0.0219064383754536,-0.557977944684687,0.192545516908498,2,-0.0491258703318374,-0.0270322047042979,-0.249719746940653,-0.0353098883154169,-0.147543619413739,0.236886475713673,0.0646851379782668,-0.0618800081574914,-0.282779569259788,0.434580697690394,-0.168204443900162,-0.212236335905965,-0.450480139770279,0.535477203014516,0.255879249796057,-0.0293980803790176,0.195900152324688,-0.156547648744441,0.754730039674144,0.0231427199456427,-0.0641121351442247,0.570159530995735,-0.0183482242683423,-0.158988798730659,0.27474639166923,-0.294833185375824,0.0286840118776606,-0.696327019166762,-0.255145244660335,-0.280241273374384,0.010537181,0.021453294,0.009304836,0.008238047,0.052512354,0.01895018,0.025413698,0.019798667,0.017229557,1.6,15.7,0.009223214,-0.007198213,-0.005896458,0.029987181,0.009810291,0.020002829,0.019667845,0.0206490163114122,0.014827041,0.015318079,0.006474172,0.017215455,0.024772168,0.006958763,0.012412609,0.006610242,0.00530889,0.021475542,0.017551183,0.007393278,0.007532406,0.010294451,0.007207055,0.007745918,0.013889367,0.005237818,-0.002154795,0.012144789,0.006101455,0.005451766,0.010001379,0.007033562,0.012064885,-0.005994899,0.005345997,0.006668826,0.006134113,0.008977022,0.005729543
3,-0.1,0.012210229,0.008996131,0.017678797,0.019421273,0.019014468,0.016832324,0.006727609,-0.012917411,0.004880816,-0.005408467,-0.19,0.1067,-0.000127527,0.002438888,-0.208971682743467,-0.173186324709067,-0.345167431282273,0.0219064383754536,3,-0.200719171885705,-0.012570380242869,-0.0491258703318374,-0.0270322047042979,-0.220079707809624,0.192545516908498,-0.249719746940653,-0.0353098883154169,-0.147543619413739,0.236886475713673,0.0646851379782668,-0.0618800081574914,-0.282779569259788,-0.156653448829801,0.434580697690394,-0.168204443900162,-0.212236335905965,-0.450480139770279,0.535477203014516,0.255879249796057,-0.156547648744441,0.754730039674144,0.0231427199456427,-0.0641121351442247,0.570159530995735,-0.0183482242683423,-0.158988798730659,0.27474639166923,0.0544522067737733,0.0286840118776606,0.012218668,0.026512743,0.014934091,0.003963867,-0.007916511,0.027965466,0.024996866,0.026712427,0.030578526,0.9,1.6,0.012409269,0.006701852,0.055874709,0.021587597,0.010732677,0.007784215,0.008560158,0.0145341053151283,0.009643291,0.021836397,0.017070311,-0.00534858,-0.012845261,0.012709209,0.034178235,0.051001226,0.010538619,0.022795137,0.016536097,0.009150407,0.009113218,0.008000987,0.00898905,0.0094558,0.010264424,0.004794662,0.021897456,0.012632205,0.006819931,0.004649369,0.01024503,0.010271016,0.012190318,-0.010695335,0.007668592,0.009344112,0.008626078,0.007744878,0.015187089
4,0.0334,0.003283211,0.012210229,0.008996131,0.017678797,0.019421273,0.019014468,0.016832324,0.006727609,-0.012917411,0.004880816,0.1666,-0.19,-0.000891365,-0.000127527,-0.0497799863894444,-0.0434657593819322,-0.208971682743467,-0.173186324709067,4,-0.0854965375758887,0.150287600947749,-0.200719171885705,-0.012570380242869,-0.230365091827346,0.0219064383754536,-0.0491258703318374,-0.0270322047042979,-0.220079707809624,0.192545516908498,-0.249719746940653,-0.0353098883154169,-0.147543619413739,-0.394990869162048,0.236886475713673,0.0646851379782668,-0.0618800081574914,-0.282779569259788,-0.156653448829801,0.434580697690394,-0.450480139770279,0.535477203014516,0.255879249796057,-0.156547648744441,0.754730039674144,0.0231427199456427,-0.0641121351442247,0.570159530995735,-0.0388819652607763,-0.158988798730659,0.008027207,0.007268901,0.008405693,0.007731348,0.016850147,0.008047119,0.003573827,0.012299726,-0.000771231,1.0,12.5,0.02030895,0.012300383,-0.001756373,0.012601175,0.005363074,0.014447156,0.012808289,0.0074490551252363,0.010607243,0.013367524,0.008777862,0.006062593,0.00394189,0.008432331,0.007200468,0.044308271,0.008350731,0.021235459,0.019417098,0.004114395,0.00278196,0.001116339,0.005307525,0.0018528,0.002011076,-0.000155986,0.009066836,0.010388886,0.005898254,-0.001547408,0.006998996,0.003182322,0.010446057,-0.012703064,-0.000297289,0.011025303,0.002265119,0.003452881,0.012581294
5,-0.0334,0.010856905,0.003283211,0.012210229,0.008996131,0.017678797,0.019421273,0.019014468,0.016832324,0.006727609,-0.012917411,-0.1866,0.1666,-0.000449166,-0.000891365,-0.0177440465886709,0.169571225831337,-0.0497799863894444,-0.0434657593819322,5,-0.130358281692784,0.294565555194669,-0.0854965375758887,0.150287600947749,-0.239767588617293,-0.173186324709067,-0.200719171885705,-0.012570380242869,-0.230365091827346,0.0219064383754536,-0.0491258703318374,-0.0270322047042979,-0.220079707809624,-0.557977944684687,0.192545516908498,-0.249719746940653,-0.0353098883154169,-0.147543619413739,-0.394990869162048,0.236886475713673,-0.282779569259788,-0.156653448829801,0.434580697690394,-0.450480139770279,0.535477203014516,0.255879249796057,-0.156547648744441,0.754730039674144,0.158687035766509,-0.0641121351442247,0.014049816,0.043072902,0.012493849,0.005584254,-0.029694063,-0.00303155,0.002967326,-0.003726447,-0.001602078,0.5,1.9,0.008925933,0.010382357,-0.032875258,0.012149858,0.008838747,0.001203275,0.001971978,0.0029999506222944,0.008408545,0.006964216,0.0038383,0.010249343,0.014208976,0.003670251,0.011408822,0.002463829,0.001385034,0.004813513,0.008701627,0.003354319,0.00253269,0.000257439,0.00533388,-0.000415282,0.002079951,-0.002342714,-0.001211499,0.007073794,0.006858297,0.003671128,0.005344204,0.005312469,0.007168489,-0.01190769,0.002702099,0.007587596,0.00411803,-0.000745914,0.013600288
6,0.2334,0.011158748,0.010856905,0.003283211,0.012210229,0.008996131,0.017678797,0.019421273,0.019014468,0.016832324,0.006727609,0.03,-0.1866,0.000762273,-0.000449166,-0.0714517300364581,0.0087697446744463,-0.0177440465886709,0.169571225831337,6,-0.0605465374017872,0.0435916570185679,-0.130358281692784,0.294565555194669,-0.0734901619351973,-0.0434657593819322,-0.0854965375758887,0.150287600947749,-0.239767588617293,-0.173186324709067,-0.200719171885705,-0.012570380242869,-0.230365091827346,-0.345167431282273,0.0219064383754536,-0.0491258703318374,-0.0270322047042979,-0.220079707809624,-0.557977944684687,0.192545516908498,-0.147543619413739,-0.394990869162048,0.236886475713673,-0.282779569259788,-0.156653448829801,0.434580697690394,-0.450480139770279,0.535477203014516,-0.0293980803790176,-0.156547648744441,0.006980576,0.019717718,0.00443161,0.005492556,0.051275586,0.012985473,0.018302,0.002356447,0.03474664,1.1,-12.9,0.02324582,0.018324067,0.015064485,-0.023416738,0.008654581,0.008952798,0.011648415,0.0108889772870815,0.018315955,0.02365742,0.026119203,0.018125624,0.015054314,0.015357709,0.023482912,0.010490081,0.027305296,-0.00068774,0.043412536,0.003206749,0.001739286,0.000686176,0.005440787,-0.001073613,0.00203926,-0.001251695,-0.008522004,0.006612267,0.007428535,-0.003284037,0.003968435,0.004821959,0.006854786,-0.008179069,0.002221532,0.01071472,0.004722986,0.005975943,0.009934824
7,-0.0334,0.021746089,0.011158748,0.010856905,0.003283211,0.012210229,0.008996131,0.017678797,0.019421273,0.019014468,0.016832324,0.1166,0.03,-0.001322526,0.000762273,-0.318885380045137,0.172045041276361,-0.0714517300364581,0.0087697446744463,7,-0.0466387813725647,0.090002338383601,-0.0605465374017872,0.0435916570185679,-0.183298470346315,0.169571225831337,-0.130358281692784,0.294565555194669,-0.0734901619351973,-0.0434657593819322,-0.0854965375758887,0.150287600947749,-0.239767588617293,-0.208971682743467,-0.173186324709067,-0.200719171885705,-0.012570380242869,-0.230365091827346,-0.345167431282273,0.0219064383754536,-0.220079707809624,-0.557977944684687,0.192545516908498,-0.147543619413739,-0.394990869162048,0.236886475713673,-0.282779569259788,-0.156653448829801,-0.168204443900162,-0.450480139770279,0.009391972,0.021219298,0.010665929,0.003399901,0.01578329,0.043608064,0.019918317,0.030618481,0.069324907,0.8,-1.8,0.019885051,0.008356379,0.07690777,0.023266181,0.009157463,0.01384301,0.011463633,0.0176562742020789,0.026028852,0.009779966,0.013810598,0.040283661,0.054759658,0.027478372,0.029689204,0.036204053,0.008381676,0.009229084,-0.011013052,0.007030632,0.007180599,0.00461944,0.007140033,0.006820309,0.005839807,0.002866163,0.018718901,0.009633186,0.007128865,0.006172821,0.008474966,0.006822199,0.009414295,0.004338402,0.006664526,0.006266452,0.005174864,0.00448887,0.0036761
8,-0.2333,0.006534562,0.021746089,0.011158748,0.010856905,0.003283211,0.012210229,0.008996131,0.017678797,0.019421273,0.019014468,0.3834,0.1166,0.004240583,-0.001322526,-0.264802404545747,0.0786959452056582,-0.318885380045137,0.172045041276361,8,-0.0183785852010213,0.135539238173488,-0.0466387813725647,0.090002338383601,-0.036340233123458,0.0087697446744463,-0.0605465374017872,0.0435916570185679,-0.183298470346315,0.169571225831337,-0.130358281692784,0.294565555194669,-0.0734901619351973,-0.0497799863894444,-0.0434657593819322,-0.0854965375758887,0.150287600947749,-0.239767588617293,-0.208971682743467,-0.173186324709067,-0.230365091827346,-0.345167431282273,0.0219064383754536,-0.220079707809624,-0.557977944684687,0.192545516908498,-0.147543619413739,-0.394990869162048,0.0646851379782668,-0.282779569259788,0.013474884,0.012287184,0.017231418,0.009077147,0.03032394,0.024347881,0.042191638,0.027106542,0.019005113,0.9,24.6,0.009243998,0.026225171,-0.005014643,0.025076543,0.010888929,0.027024584,0.024569047,0.0167930800943921,0.006650503,0.011016684,0.00799871,0.000997172,-0.012570524,0.01873784,0.022936524,0.019600039,0.002002434,0.030793268,-0.002350405,0.005442757,0.004651104,0.002067552,0.006218212,0.003949997,0.002636662,0.001248115,0.014081678,0.010349118,0.00561798,0.003455561,0.008072294,0.004583389,0.010357394,0.001441961,0.002319205,0.009468918,0.003761436,0.002466361,0.017042078
9,0.0667,0.020863619,0.006534562,0.021746089,0.011158748,0.010856905,0.003283211,0.012210229,0.008996131,0.017678797,0.019421273,0.2033,0.3834,-0.003388098,0.004240583,-0.189091146933222,-0.123222698464292,-0.264802404545747,0.0786959452056582,9,-0.0976801660691446,0.142886863114489,-0.0183785852010213,0.135539238173488,-0.36471971063335,0.172045041276361,-0.0466387813725647,0.090002338383601,-0.036340233123458,0.0087697446744463,-0.0605465374017872,0.0435916570185679,-0.183298470346315,-0.0177440465886709,0.169571225831337,-0.130358281692784,0.294565555194669,-0.0734901619351973,-0.0497799863894444,-0.0434657593819322,-0.239767588617293,-0.208971682743467,-0.173186324709067,-0.230365091827346,-0.345167431282273,0.0219064383754536,-0.220079707809624,-0.557977944684687,-0.249719746940653,-0.147543619413739,0.008298012,0.015659707,0.013599198,-0.001222898,0.012068567,0.029441227,0.038430414,0.028753042,0.031049233,0.8,-10.0,0.0077097,0.013208563,0.038337354,-0.003286931,0.016150283,0.007038792,0.006552555,0.0114831989451515,0.01676373,0.015147989,0.014169025,0.018064614,0.024997749,0.015895615,0.02081401,0.026937571,0.011924547,0.027966629,0.020966872,0.006519207,0.005424653,0.002912877,0.008801501,0.002106003,0.004642384,0.000415682,-0.003016258,0.01243874,0.008730503,0.002488316,0.00932233,0.009557256,0.012034481,0.006701844,0.005235072,0.012054092,0.008194858,0.00799789,0.01675645
