Date,spy_close,spy_1d_returns,VIX_slope,yc_3m,yc_10y,yc_slopes_3m_10y,5Ewm,15Ewm,MACD,trend
24/01/2013,1494.819946,-0.001500867,-0.00103369,0.0,0.02,0.000511858,2.6539905115155307,2.3398168419428202,-11.070736870568453,1
25/01/2013,1502.959961,0.005438872,-0.001276695,0.0,0.1,0.000543043,4.482665341010488,3.0648416117001034,-12.488560599878838,2
28/01/2013,1500.180054,-0.007295103,-0.0022638,-0.01,0.02,0.00054943,2.061807894006961,2.3342480352375787,-12.21612045864822,3
29/01/2013,1507.839966,0.006955616,0.001520538,0.0,0.03,0.000558978,3.927842596004666,2.9999560308326636,-13.144007023820222,4
30/01/2013,1501.959961,-0.009005616,-0.003258798,0.0,0.0,0.000558706,0.6585600640030407,1.8899609019786112,-11.912606185844652,5
31/01/2013,1498.109985,0.00133632,0.000877905,0.0,-0.01,0.000554546,-0.8442852906646294,1.1724687892312886,-9.895852105948734,6
01/02/2013,1513.170044,0.012616007,0.003574483,-0.01,0.02,0.000563329,4.45716280622355,2.908417565577338,-11.444597346594946,7
04/02/2013,1495.709961,-0.021591451,-0.003936671,0.01,-0.04,0.00054965,-2.8485857958510223,0.3623549948802065,-8.233656555863718,8
05/02/2013,1511.290039,0.021955255,0.002507331,0.0,0.04,0.000560962,3.2943021360993043,2.2645703705202322,-9.26338832144279,9
06/02/2013,1512.119995,-0.009867339,0.000819933,0.0,-0.04,0.000545883,2.4728534240662157,2.085243574205151,-9.650998171303854,10
07/02/2013,1509.390015,-0.00235457,-0.000111102,0.0,-0.01,0.000544291,0.7385756160442725,1.4833406274296976,-8.906233159918429,11
08/02/2013,1517.930054,0.00746334,0.000487499,0.0,0.0,0.000545581,3.339063410696099,2.365427924000869,-9.879868646613659,12
11/02/2013,1517.01001,-0.006264059,-8.21e-05,0.02,0.0,0.000541924,1.9193609404640029,1.954743933500822,-9.84448565357684,13
12/02/2013,1519.430054,0.00220139,0.001152055,0.0,0.03,0.00055239,2.0862552936428074,2.0129064418131293,-9.917834505406518,14
13/02/2013,1520.329956,-0.001003009,-0.002149432,0.01,0.03,0.0005634,1.690804195761757,1.8737808865864736,-9.734857814581801,15
14/02/2013,1521.380005,9.84e-05,0.001473915,0.01,-0.05,0.000542267,1.4772191305078195,1.770814400763129,-9.441262544326491,16
15/02/2013,1519.790039,-0.001735753,0.001287489,-0.01,0.01,0.000545098,0.45482408700536325,1.3507168506675953,-8.54536978066426,17
19/02/2013,1530.939941,0.008381556,-0.001264316,0.02,0.02,0.000550889,4.0198500580036125,2.575614994334501,-9.989604844333371,18
