SPY_1d_returns,SPY_2d_returns,SPY_3d_returns,SPY_4d_returns,SPY_5d_returns,SPY_10d_returns,SPY_15d_returns,SPY_22d_returns,VIX_slope,yc_slopes_1m_10y,yc_slopes_3m_10y
0.042775745,0.031253134,0.029996612,0.025065544,0.02256408,0.034550637,0.031274972,0.03722879,0.029684584,0.000492277,0.000501674
-0.002085618,0.040600913,0.029102334,0.027848433,0.022927649,0.020281615,0.028775824,0.030664957,0.029076787,0.000513705,0.000522343
0.004865097,0.002769332,0.045663537,0.034109016,0.032849015,0.01360248,0.027054856,0.035510963,0.030419287,0.000518799,0.000527844
-0.003123116,0.001726786,-0.000362433,0.042397809,0.030879374,0.018163932,0.023388522,0.037198683,0.032075392,0.000516666,0.000524681
-0.003242372,-0.006355362,-0.001521184,-0.003603629,0.039017967,0.009323389,0.026559635,0.035606392,0.032499019,0.000506654,0.00051627
0.002655867,-0.000595117,-0.003716374,0.001130642,-0.000957334,0.021585145,0.033560227,0.036713776,0.03090153,0.000507804,0.000516814
0.007597415,0.010273459,0.006997777,0.003852806,0.008736647,0.031864607,0.029195455,0.041147472,0.03103185,0.000515436,0.000524801
-4.75E-05,0.00754954,0.010225457,0.00694993,0.003805109,0.036779118,0.017459347,0.038065896,0.030887317,0.00050841,0.000516491
-0.000930671,-0.000978141,0.006611842,0.009285269,0.006012791,0.037077836,0.024285939,0.036748795,0.03010495,0.000504819,0.000513318
0.00112867,0.000196948,0.000149425,0.007747975,0.010424419,0.049849126,0.019844999,0.031165958,0.030044727,0.000489858,0.000501583
0.000196992,0.001325884,0.000393978,0.000346446,0.007946493,0.006981552,0.029703164,0.030906996,0.029541246,0.000487518,0.000497434
0.005642922,0.005841025,0.006976288,0.006039123,0.005991323,0.014780313,0.038046841,0.04331959,0.027646551,0.00050754,0.000515635
0.00340327,0.009065397,0.009264174,0.0104033,0.009462947,0.013304063,0.046590103,0.051217495,0.029660532,0.000500947,0.000508443
0.004428107,0.007846448,0.013533647,0.013733304,0.014877474,0.020979721,0.052506935,0.043485608,0.028597114,0.000497409,0.000504827
0.001507477,0.00594226,0.009365753,0.015061525,0.015261484,0.025844995,0.065871381,0.033190732,0.027203434,0.000493972,0.000503085
6.61E-06,0.001514101,0.005948913,0.009372429,0.015068239,0.023134471,0.02215499,0.041098672,0.026169744,0.000502077,0.000511858
0.005445482,0.005452132,0.006967828,0.01142679,0.014868949,0.020949356,0.02986903,0.041054536,0.024893049,0.000534157,0.000543043
-0.001849621,0.003585788,0.003592426,0.005105319,0.009556033,0.019109408,0.02298723,0.048966912,0.022629249,0.000543601,0.00054943
0.005105995,0.003246929,0.008710092,0.008716764,0.010237382,0.025267163,0.03143188,0.056902086,0.024149787,0.000552505,0.000558978
-0.003899621,0.001186462,-0.000665354,0.004776505,0.004783151,0.020117633,0.030751766,0.057844959,0.020890989,0.000550593,0.000558706
-0.002563301,-0.006452927,-0.00137988,-0.00322695,0.00220096,0.017302364,0.02538635,0.05642057,0.021768894,0.000546796,0.000554546
0.010052706,0.007463636,0.00353491,0.008658954,0.006793317,0.021763275,0.027884988,0.078962933,0.025343377,0.000556358,0.000563329
